referenced_tweets/0/type,referenced_tweets/0/id,public_metrics/retweet_count,public_metrics/reply_count,public_metrics/like_count,public_metrics/quote_count,reply_settings,entities/mentions/0/start,entities/mentions/0/end,entities/mentions/0/username,entities/mentions/1/start,entities/mentions/1/end,entities/mentions/1/username,entities/mentions/2/start,entities/mentions/2/end,entities/mentions/2/username,in_reply_to_user_id,geo/place_id,id,conversation_id,lang,author_id,created_at,text,possibly_sensitive,source,context_annotations/0/domain/id,context_annotations/0/domain/name,context_annotations/0/domain/description,context_annotations/0/entity/id,context_annotations/0/entity/name,entities/urls/0/start,entities/urls/0/end,entities/urls/0/url,entities/urls/0/expanded_url,entities/urls/0/display_url,entities/hashtags/0/start,entities/hashtags/0/end,entities/hashtags/0/tag,entities/hashtags/1/start,entities/hashtags/1/end,entities/hashtags/1/tag,entities/hashtags/2/start,entities/hashtags/2/end,entities/hashtags/2/tag,entities/hashtags/3/start,entities/hashtags/3/end,entities/hashtags/3/tag,entities/mentions/3/start,entities/mentions/3/end,entities/mentions/3/username,entities/mentions/4/start,entities/mentions/4/end,entities/mentions/4/username,attachments/media_keys/0,entities/annotations/0/start,entities/annotations/0/end,entities/annotations/0/probability,entities/annotations/0/type,entities/annotations/0/normalized_text,entities/annotations/1/start,entities/annotations/1/end,entities/annotations/1/probability,entities/annotations/1/type,entities/annotations/1/normalized_text,entities/annotations/2/start,entities/annotations/2/end,entities/annotations/2/probability,entities/annotations/2/type,entities/annotations/2/normalized_text,entities/annotations/3/start,entities/annotations/3/end,entities/annotations/3/probability,entities/annotations/3/type,entities/annotations/3/normalized_text,entities/annotations/4/start,entities/annotations/4/end,entities/annotations/4/probability,entities/annotations/4/type,entities/annotations/4/normalized_text,entities/annotations/5/start,entities/annotations/5/end,entities/annotations/5/probability,entities/annotations/5/type,entities/annotations/5/normalized_text,context_annotations/0/entity/description,context_annotations/1/domain/id,context_annotations/1/domain/name,context_annotations/1/domain/description,context_annotations/1/entity/id,context_annotations/1/entity/name,context_annotations/1/entity/description,entities/hashtags/4/start,entities/hashtags/4/end,entities/hashtags/4/tag,entities/hashtags/5/start,entities/hashtags/5/end,entities/hashtags/5/tag,entities/hashtags/6/start,entities/hashtags/6/end,entities/hashtags/6/tag,entities/hashtags/7/start,entities/hashtags/7/end,entities/hashtags/7/tag,entities/hashtags/8/start,entities/hashtags/8/end,entities/hashtags/8/tag,entities/hashtags/9/start,entities/hashtags/9/end,entities/hashtags/9/tag,entities/hashtags/10/start,entities/hashtags/10/end,entities/hashtags/10/tag,entities/hashtags/11/start,entities/hashtags/11/end,entities/hashtags/11/tag,geo/coordinates/type,geo/coordinates/coordinates/0,geo/coordinates/coordinates/1,entities/urls/1/start,entities/urls/1/end,entities/urls/1/url,entities/urls/1/expanded_url,entities/urls/1/display_url,attachments/media_keys/1,entities/urls/0/images/0/url,entities/urls/0/images/0/width,entities/urls/0/images/0/height,entities/urls/0/images/1/url,entities/urls/0/images/1/width,entities/urls/0/images/1/height,entities/urls/0/status,entities/urls/0/title,entities/urls/0/description,entities/urls/0/unwound_url,entities/mentions/5/start,entities/mentions/5/end,entities/mentions/5/username,entities/mentions/6/start,entities/mentions/6/end,entities/mentions/6/username,entities/mentions/7/start,entities/mentions/7/end,entities/mentions/7/username,entities/mentions/8/start,entities/mentions/8/end,entities/mentions/8/username,entities/mentions/9/start,entities/mentions/9/end,entities/mentions/9/username,entities/mentions/10/start,entities/mentions/10/end,entities/mentions/10/username,entities/mentions/11/start,entities/mentions/11/end,entities/mentions/11/username,entities/mentions/12/start,entities/mentions/12/end,entities/mentions/12/username,context_annotations/2/domain/id,context_annotations/2/domain/name,context_annotations/2/domain/description,context_annotations/2/entity/id,context_annotations/2/entity/name,context_annotations/3/domain/id,context_annotations/3/domain/name,context_annotations/3/domain/description,context_annotations/3/entity/id,context_annotations/3/entity/name,entities/mentions/13/start,entities/mentions/13/end,entities/mentions/13/username,entities/mentions/14/start,entities/mentions/14/end,entities/mentions/14/username,entities/mentions/15/start,entities/mentions/15/end,entities/mentions/15/username,entities/mentions/16/start,entities/mentions/16/end,entities/mentions/16/username,entities/urls/2/start,entities/urls/2/end,entities/urls/2/url,entities/urls/2/expanded_url,entities/urls/2/display_url,entities/urls/3/start,entities/urls/3/end,entities/urls/3/url,entities/urls/3/expanded_url,entities/urls/3/display_url,attachments/media_keys/2,attachments/media_keys/3,context_annotations/2/entity/description,context_annotations/3/entity/description,context_annotations/4/domain/id,context_annotations/4/domain/name,context_annotations/4/domain/description,context_annotations/4/entity/id,context_annotations/4/entity/name,context_annotations/4/entity/description
,,73,0,12,1,everyone,19,33,LosOlivosInfo,34,47,ClavelRangel,48,58,Leonervis,,01a74227630d48a8,1379922512713285632,1379922512713285632,es,108841517,2021-04-07T22:22:19+00:00,*Servicio Publico* @LosOlivosInfo @ClavelRangel @Leonervis @PableOstos @MalvadoElvis @elias_rivas @CarlosSuniagaG @DiarioPrimicia @DiariodeGuayana @CorreodelCaroni @SoyNuevaPrensa @Watcher_Ven @MalvadoElvis https://t.co/nVK3TcvjC0,False,Twitter for Android,,,,,,207,230,https://t.co/nVK3TcvjC0,https://twitter.com/Manualfred34/status/1379922512713285632/photo/1,pic.twitter.com/nVK3TcvjC0,,,,,,,,,,,,,59,70,PableOstos,71,84,MalvadoElvis,31379922509320044544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,97,elias_rivas,98,113,CarlosSuniagaG,114,129,DiarioPrimicia,130,146,DiariodeGuayana,147,163,CorreodelCaroni,164,179,SoyNuevaPrensa,180,192,Watcher_Ven,193,206,MalvadoElvis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,15,0,4,0,everyone,0,14,LosOlivosInfo,15,25,Leonervis,26,37,PableOstos,768209128959401984,01a74227630d48a8,1379873730663448580,1379873730663448580,es,108841517,2021-04-07T19:08:28+00:00,@LosOlivosInfo @Leonervis @PableOstos @ClavelRangel @DiarioPrimicia @CarlosSuniagaG @Watcher_Ven @MalvadoElvis *Servicio Publico* https://t.co/U9AXzqS6RX,False,Twitter for Android,,,,,,130,153,https://t.co/U9AXzqS6RX,https://twitter.com/Manualfred34/status/1379873730663448580/photo/1,pic.twitter.com/U9AXzqS6RX,,,,,,,,,,,,,38,51,ClavelRangel,52,67,DiarioPrimicia,31379873727756836866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,83,CarlosSuniagaG,84,96,Watcher_Ven,97,110,MalvadoElvis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,0,0,0,everyone,,,,,,,,,,,008eb02a542ac3d4,1379592278612774920,1379592278612774920,es,108647424,2021-04-07T00:30:05+00:00,Servicio público https://t.co/bxwBOYNCts,False,Twitter for Android,10,Person,Named people in the world like Nelson Mandela,1138742711748423683,Luis Carlos Díaz ,17,40,https://t.co/bxwBOYNCts,https://twitter.com/gchacon02/status/1379529477613584396,twitter.com/gchacon02/stat…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,Brand Category,Categories within Brand Verticals that narrow down the scope of Brands,781974596752842752,Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,Brand,Brands and Companies,10045225402,Twitter,94,Journalist,A journalist like 'Anderson Cooper',1138742711748423683,Luis Carlos Díaz ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,20,0,3,1,everyone,19,33,LosOlivosInfo,34,44,Leonervis,45,56,PableOstos,,01a74227630d48a8,1379518669982740486,1379518669982740486,es,108841517,2021-04-06T19:37:35+00:00,*SERVICIO PUBLICO* @LosOlivosInfo @Leonervis @PableOstos @MalvadoElvis @Watcher_Ven @padrejose @SoyPuertoOrdaz @SoyNuevaPrensa @DiarioPrimicia @CorreodelCaroni @jlsilva10 @cguillenm https://t.co/x1eAzDPmzq,False,Twitter for Android,,,,,,182,205,https://t.co/x1eAzDPmzq,https://twitter.com/Manualfred34/status/1379518669982740486/photo/1,pic.twitter.com/x1eAzDPmzq,,,,,,,,,,,,,57,70,MalvadoElvis,71,83,Watcher_Ven,31379518666618908688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,94,padrejose,95,110,SoyPuertoOrdaz,111,126,SoyNuevaPrensa,127,142,DiarioPrimicia,143,159,CorreodelCaroni,160,170,jlsilva10,171,181,cguillenm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,0,0,0,everyone,0,12,MamaLisVzla,13,20,LucyPN,21,31,Caguacity,115544486,00eacd9e4c340449,1379498037895176193,1379498037895176193,es,250164534,2021-04-06T18:15:36+00:00,@MamaLisVzla @LucyPN @Caguacity  @CaguaPresente @cagua_comenta  SERVICIO PÚBLICO se requiere medicamentos para segundo ciclos de quimioterapia https://t.co/DDLbTbYUCA,False,Twitter for Android,,,,,,143,166,https://t.co/DDLbTbYUCA,https://twitter.com/biss2024/status/1379498037895176193/photo/1,pic.twitter.com/DDLbTbYUCA,,,,,,,,,,,,,33,47,CaguaPresente,48,62,cagua_comenta,31379498035961548800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,0,0,0,everyone,,,,,,,,,,,00ec4c32070f5076,1379425605846896640,1379425605846896640,es,95534058,2021-04-06T13:27:47+00:00,Servicio público | Lugares donde pueden conseguir Rendesivir para tratamiento de #COVID19 https://t.co/C64FG4ZSdd,False,Twitter for Android,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,90,113,https://t.co/C64FG4ZSdd,https://twitter.com/Josemanuel_pr95/status/1379425605846896640/photo/1,pic.twitter.com/C64FG4ZSdd,81,89,COVID19,,,,,,,,,,,,,,,,31379425603082928133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quoted,1379391819251920899,0,0,1,0,everyone,,,,,,,,,,,008eb02a542ac3d4,1379421730188492808,1379421730188492808,es,108647424,2021-04-06T13:12:23+00:00,Servicio público https://t.co/xKybW38Pzv,False,Twitter for Android,,,,,,17,40,https://t.co/xKybW38Pzv,https://twitter.com/Mafary/status/1379391819251920899,twitter.com/Mafary/status/…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,0,0,0,everyone,,,,,,,,,,,0058b0cb7e695890,1379019010185035780,1379019010185035780,pt,68558518,2021-04-05T10:32:07+00:00,Servicio público.agradecido https://t.co/a14XXvzj1w,False,Twitter for Android,,,,,,28,51,https://t.co/a14XXvzj1w,https://twitter.com/Guerrejgt/status/1379019010185035780/photo/1,pic.twitter.com/a14XXvzj1w,,,,,,,,,,,,,,,,,,,31379019004845637635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
replied_to,1378886035657080834,0,1,2,0,everyone,0,13,unarubyamas_,,,,,,,2427814692,01c93e351e3122fb,1378887844941418496,1378884874497626112,es,2427814692,2021-04-05T01:50:55+00:00,"@unarubyamas_ Y sea como sea, todos tenemos derecho a vacunarnos sea odontólogo de servicio público o privado así como los médicos también lo requieren (sean de servicios públicos o no) dar esa respuesta como excusa para que no nos vacunen es irrespetuoso, nos jugamos la salud trabajando.",False,Twitter for Android,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quoted,1378864437604540416,2,0,1,0,everyone,254,263,jsayagob,264,274,YelmiraJB,,,,,00ec4c32070f5076,1378879324988829699,1378879324988829699,es,53354063,2021-04-05T01:17:04+00:00,"#4Abri Multiplicación de cantagios x covid19, saturacion de Los servicios sanitarios tanto públicos como privados. Improvisacion y ausencia de un plan de vacunacion. Obligan a limitar el servicio del transporte público. Pero quien compensa las perdidas. @jsayagob @YelmiraJB https://t.co/abUWOhiogN",False,Twitter for Android,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,275,298,https://t.co/abUWOhiogN,https://twitter.com/NicmerEvans/status/1378864437604540416,twitter.com/NicmerEvans/st…,0,6,4Abri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
replied_to,1378545861798592514,0,0,1,0,everyone,0,14,El_Cooperante,15,31,CarlosCanacheMa,,,,82794341,008eb02a542ac3d4,1378752224336220160,1378545861798592514,es,152521458,2021-04-04T16:52:00+00:00,"@El_Cooperante @CarlosCanacheMa Debemos recordar que Rómulo se rodeó de excelentes profesionales en su mayoría menores de 35 años, con cursos de especialidad en las mejores universidades del mundo. En su mayoría  con vocación de servicio público, nada que ver con lo visto a esta fecha.",False,Twitter for Android,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,58,0.7279,Person,Rómulo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
replied_to,1378694410297171969,0,0,0,0,everyone,0,16,RosaVillacastin,,,,,,,364924605,0198c6f108778b40,1378749479873036296,1378694410297171969,es,53217954,2021-04-04T16:41:06+00:00,"@RosaVillacastin Un restaurante no es un lugar público, es un local privado que ofrece un servicio al público, y al que no le guste se puede ir",False,Twitter for Android,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,1,2,0,everyone,,,,,,,,,,,012a9ff7509f33b5,1378565172290318340,1378565172290318340,es,218556750,2021-04-04T04:28:44+00:00,"Solucionar algo aquí en Venezuela que involucre a un servicio público siempre será un tormento para mi. Llevo como 4 días sin internet, contacté a un carajo de cantv para que solo haga una pendejada y me solucione el problema y me esta pidiendo 60$ por ""el favor""... Osea, what?",False,Twitter for Android,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,32,0.9961,Place,Venezuela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
replied_to,1378345603407695873,0,0,3,1,everyone,0,7,soyf21,8,20,PolarPilsen,,,,146275752,01a73d6169f504ac,1378532977290969090,1378345603407695873,es,49486443,2021-04-04T02:20:48+00:00,@soyf21 @PolarPilsen Ya voy a ponerlo como servicio público en la cuenta de la radio,False,Twitter for Android,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,0,1,0,everyone,188,199,PalmarMade,200,213,madelynpalma,226,238,LuisParraVe,,01be351754bcbe13,1378404888741306370,1378404888741306370,es,117284587,2021-04-03T17:51:49+00:00,#primerovenezuelazulia también es solidaridad con los ciudadanos. Hoy hacemos servicio público para ayudar al señor Leandro Palmar quien requiere donantes de sangre papá de una gran amiga @PalmarMade @madelynpalma  #venezuela @LuisParraVe @MiguelPonentep @JoseBritoVe @pazfreddy https://t.co/tYQIOIB04t,False,Twitter for Android,,,,,,279,302,https://t.co/tYQIOIB04t,https://twitter.com/LobsangNafi/status/1378404888741306370/photo/1,pic.twitter.com/tYQIOIB04t,0,22,primerovenezuelazulia,215,225,venezuela,,,,,,,239,254,MiguelPonentep,255,267,JoseBritoVe,31378404886518317063,116,129,0.9117,Person,Leandro Palmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268,278,pazfreddy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
replied_to,1378368352003952641,0,1,0,0,everyone,0,11,yelysaries,12,27,negromangueraa,,,,136377392,01a2d81b02ef3be4,1378369739769139202,1378364321265287168,es,85823532,2021-04-03T15:32:09+00:00,"@yelysaries @negromangueraa No dudo de la calidad del servicio, pero aprovecho el espacio para hacer público el caso porque a mí me vendieron el 28 de Febrero, contrato 444, y ya en abril aún no me instalan ni me dan respuesta.",False,Twitter for Android,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,0,0,0,everyone,,,,,,,,,,,008eb02a542ac3d4,1378153860846469121,1378153860846469121,es,108647424,2021-04-03T01:14:19+00:00,Servicio público https://t.co/UWvwR2PY2A,False,Twitter for Android,,,,,,17,40,https://t.co/UWvwR2PY2A,https://twitter.com/Lilianagim93/status/1378034032538173441,twitter.com/Lilianagim93/s…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,0,1,0,everyone,,,,,,,,,,,018e4aba7010ecbe,1378029888062558212,1378029888062558212,es,1601780011,2021-04-02T17:01:42+00:00,"Servicio Público # Venezuela , # Caracas 💕🙏🏼 https://t.co/teBcrTj1tT",False,Twitter for Android,,,,,,45,68,https://t.co/teBcrTj1tT,https://twitter.com/A__291301/status/1378029888062558212/photo/1,pic.twitter.com/teBcrTj1tT,,,,,,,,,,,,,,,,,,,31378029884199596044,19,27,0.8544,Place,Venezuela,33,39,0.8814,Place,Caracas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quoted,1377477601233666052,0,0,0,0,everyone,,,,,,,,,,,00ec4c32070f5076,1377585688594542592,1377585688594542592,es,146012149,2021-04-01T11:36:37+00:00,"Tengo días diciéndolo e incluso por esta vía, lo dije en el servicio medico del sistema público de salud donde trabajo y me observaron muy mal. Yo a mis pacientes no se los recetó y se los aclaro de entrada. 😒 https://t.co/hpDfUAgBqL",False,Twitter for Android,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,210,233,https://t.co/hpDfUAgBqL,https://twitter.com/AleCrespoF/status/1377477601233666052,twitter.com/AleCrespoF/sta…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,343,13,214,5,everyone,,,,,,,,,,,0198c6f108778b40,1377242817454612484,1377242817454612484,es,163248399,2021-03-31T12:54:10+00:00,"Buen día, para conocimiento general de la población de Maracay, actualmente en el servicio público puedes realizarte Radiografías en el CDI del Hipódromo, CDI San Jacinto, Ambulatorio de Turmero y IVSS Carabaño Tosta (seguro de san Jose) estos centros son los que actualmente --&gt;",False,Twitter for Android,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,61,0.9552,Place,Maracay,155,169,0.4003,Place,CDI San Jacinto,172,193,0.6484,Place,Ambulatorio de Turmero,197,200,0.3808,Organization,IVSS,228,235,0.5316,Place,san Jose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
replied_to,1377073371515650050,0,0,0,0,everyone,0,16,MichelCaballero,17,33,salaprensaCantv,34,46,Gabrielasjr,114909288,01be351754bcbe13,1377229946985148418,1377073371515650050,es,141351600,2021-03-31T12:03:01+00:00,@MichelCaballero @salaprensaCantv @Gabrielasjr A ti xq eres público pero al mortal no le paran ni un poquito en Maracaibo ya casi un año sin servicio de CANTV ni internet,False,Twitter for Android,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,120,0.9928,Place,Maracaibo,153,157,0.5423,Organization,CANTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,0,0,0,everyone,44,56,MamaLisVzla,58,70,ivssoficial,72,84,PedroOquero,,004ed43112a4cf6a,1376730018961883139,1376730018961883139,es,797428926,2021-03-30T02:56:29+00:00,"SERVICIO PÚBLICO 
Tu bondad puede salvarlo.
@MamaLisVzla 
@ivssoficial 
@PedroOquero 
@AbreuHector14 @caritasdebqto 
@bepocar 
@laprensalara 
@bmijares55 https://t.co/l1zzJGPj1k",False,Twitter for Android,,,,,,154,177,https://t.co/l1zzJGPj1k,https://twitter.com/elbarodriguezc/status/1376730018961883139/photo/1,pic.twitter.com/l1zzJGPj1k,,,,,,,,,,,,,86,100,AbreuHector14,101,115,caritasdebqto,31376729779836227584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,125,bepocar,127,140,laprensalara,142,153,bmijares55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,0,5,0,everyone,,,,,,,,,,,01a73d6169f504ac,1376517355426230276,1376517355426230276,es,49486443,2021-03-29T12:51:26+00:00,"Alguien: ¿Puedes ayudarme con un servicio público?
Yo: Sí, con gusto.

(Unos minutos después)

Yo: Iba a darte RT pero no lo tienes publicado en tu TL
Alguien: Es que tú tienes . más seguidores que yo. https://t.co/NaYYh0P3uW",False,Twitter for Android,,,,,,202,225,https://t.co/NaYYh0P3uW,https://twitter.com/lorearraiz/status/1376517355426230276/photo/1,pic.twitter.com/NaYYh0P3uW,,,,,,,,,,,,,,,,,,,161376517347641544704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,0,0,0,everyone,,,,,,,,,,,002e2add0d1ff144,1376313016413720584,1376313016413720584,es,987128299481681920,2021-03-28T23:19:28+00:00,"Servicio público @ notiredve

Las personas que puedan  donar para ayudar  a Fred Jiménez  favor comunicarse al 0414/ 00 70804. en Ciudad Ojeda https://t.co/i9jIPj8kk9",False,Instagram,,,,,,143,166,https://t.co/i9jIPj8kk9,https://www.instagram.com/p/CM-wjxZlqPx/?igshid=1syabba7s0rkt,instagram.com/p/CM-wjxZlqPx/…,,,,,,,,,,,,,,,,,,,,76,87,0.9793,Person,Fred Jiménez,130,141,0.9639,Place,Ciudad Ojeda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Point,-71.3102,10.1956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,0,0,0,everyone,,,,,,,,,,,015cbec154ca1c9c,1376223179459416082,1376223179459416082,es,1189258303878156289,2021-03-28T17:22:29+00:00,"Maduro y sus secuaces, cuando le piden un servicio publico, da palos y plomo.",False,Twitter for Android,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,0.9806,Person,Maduro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
replied_to,1376185284598042629,0,1,2,0,everyone,0,8,carsuas,9,25,LuisOlavarrieta,,,,318402953,01c93e351e3122fb,1376199386439503873,1376178182261456896,es,68768998,2021-03-28T15:47:56+00:00,"@carsuas @LuisOlavarrieta Seas quien seas, hay un servicio público que postea las solicitud de ayuda para cualquier que se requiera o lo solicite. Sabía? Me he cansado de leerlos. Puedes pedir ayuda y la solicitan en tu nombre. Porqué discriminar por tu profesión? En fin... Increíble",False,Twitter for Android,65,Interests and Hobbies Vertical,"Top level interests and hobbies groupings, like Food or Travel",847544972781826048,Careers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Careers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
